Time [s], Analyzer Name, Decoded Protocol Result
0.000004760000000,I2C,Setup Write to [0x84] + ACK
0.000095600000000,I2C,0x00 + ACK
0.000201560000000,I2C,Setup Read to [0x85] + ACK
0.000296160000000,I2C,0x7B + NAK
0.000410800000000,I2C,Setup Write to [0x84] + ACK
0.000501640000000,I2C,0x41 + ACK
0.000607600000000,I2C,Setup Read to [0x85] + ACK
0.000702240000000,I2C,0x00 + NAK
0.000814080000000,I2C,Setup Write to [0x84] + ACK
0.000904920000000,I2C,0x41 + ACK
0.000995760000000,I2C,0x02 + ACK
0.001993840000000,I2C,Setup Write to [0x84] + ACK
0.002084680000000,I2C,0x41 + ACK
0.002190600000000,I2C,Setup Read to [0x85] + ACK
0.002285200000000,I2C,0x02 + NAK
0.002397040000000,I2C,Setup Write to [0x84] + ACK
0.002487880000000,I2C,0x41 + ACK
0.002578720000000,I2C,0x03 + ACK
0.003000400000000,I2C,Setup Write to [0x84] + ACK
0.003091240000000,I2C,0x40 + ACK
0.003197160000000,I2C,Setup Read to [0x85] + ACK
0.003291800000000,I2C,0x00 + NAK
0.003403680000000,I2C,Setup Write to [0x84] + ACK
0.003494480000000,I2C,0x40 + ACK
0.003585280000000,I2C,0x04 + ACK
0.003696880000000,I2C,Setup Write to [0x84] + ACK
0.003787720000000,I2C,0x80 + ACK
0.003878520000000,I2C,0x08 + ACK
0.003989880000000,I2C,Setup Write to [0x84] + ACK
0.004080720000000,I2C,0x81 + ACK
0.004171560000000,I2C,0xFF + ACK
0.004283440000000,I2C,Setup Write to [0x84] + ACK
0.004374280000000,I2C,0x82 + ACK
0.004465120000000,I2C,0x03 + ACK
0.004576200000000,I2C,Setup Write to [0x84] + ACK
0.004667040000000,I2C,0x83 + ACK
0.004757880000000,I2C,0xE8 + ACK
0.004868960000000,I2C,Setup Write to [0x84] + ACK
0.004959800000000,I2C,0x84 + ACK
0.005050640000000,I2C,0x00 + ACK
0.005162520000000,I2C,Setup Write to [0x84] + ACK
0.005253360000000,I2C,0x85 + ACK
0.005344160000000,I2C,0x18 + ACK
0.005455320000000,I2C,Setup Write to [0x84] + ACK
0.005546160000000,I2C,0x86 + ACK
0.005637000000000,I2C,0x02 + ACK
0.005748600000000,I2C,Setup Write to [0x84] + ACK
0.005839480000000,I2C,0x87 + ACK
0.005930320000000,I2C,0x6C + ACK
0.006042120000000,I2C,Setup Write to [0x84] + ACK
0.006132960000000,I2C,0x88 + ACK
0.006223800000000,I2C,0x00 + ACK
0.006335360000000,I2C,Setup Write to [0x84] + ACK
0.006426200000000,I2C,0x89 + ACK
0.006517040000000,I2C,0x00 + ACK
0.006628080000000,I2C,Setup Write to [0x84] + ACK
0.006718920000000,I2C,0x8A + ACK
0.006809760000000,I2C,0x27 + ACK
0.006920800000000,I2C,Setup Write to [0x84] + ACK
0.007011640000000,I2C,0x8B + ACK
0.007102480000000,I2C,0x10 + ACK
0.007214720000000,I2C,Setup Write to [0x84] + ACK
0.007305560000000,I2C,0x90 + ACK
0.007396400000000,I2C,0x95 + ACK
0.007507440000000,I2C,Setup Write to [0x84] + ACK
0.007598320000000,I2C,0x91 + ACK
0.007689160000000,I2C,0x95 + ACK
0.007800240000000,I2C,Setup Write to [0x84] + ACK
0.007891080000000,I2C,0x92 + ACK
0.007981880000000,I2C,0x95 + ACK
0.008093720000000,I2C,Setup Write to [0x84] + ACK
0.008184520000000,I2C,0x93 + ACK
0.008275400000000,I2C,0x00 + ACK
0.008386920000000,I2C,Setup Write to [0x84] + ACK
0.008477800000000,I2C,0x94 + ACK
0.008568640000000,I2C,0xFF + ACK
0.008679720000000,I2C,Setup Write to [0x84] + ACK
0.008770560000000,I2C,0x8C + ACK
0.008861400000000,I2C,0x13 + ACK
0.008972480000000,I2C,Setup Write to [0x84] + ACK
0.009063320000000,I2C,0x8D + ACK
0.009154160000000,I2C,0x7E + ACK
0.009266040000000,I2C,Setup Write to [0x84] + ACK
0.009356880000000,I2C,0x8E + ACK
0.009447720000000,I2C,0x07 + ACK
0.009558800000000,I2C,Setup Write to [0x84] + ACK
0.009649640000000,I2C,0x8F + ACK
0.009740520000000,I2C,0xD0 + ACK
0.009851600000000,I2C,Setup Write to [0x84] + ACK
0.009942280000000,I2C,0x96 + ACK
0.010033120000000,I2C,0x64 + ACK
0.010145320000000,I2C,Setup Write to [0x84] + ACK
0.010236160000000,I2C,0x97 + ACK
0.010327000000000,I2C,0x0A + ACK
0.010438040000000,I2C,Setup Write to [0x84] + ACK
0.010528880000000,I2C,0x98 + ACK
0.010619760000000,I2C,0x04 + ACK
0.010732240000000,I2C,Setup Write to [0x84] + ACK
0.010823080000000,I2C,0x01 + ACK
0.010929080000000,I2C,Setup Read to [0x85] + ACK
0.011023640000000,I2C,0x02 + ACK
0.011114480000000,I2C,0x06 + NAK
0.011237480000000,I2C,Setup Write to [0x84] + ACK
0.011328320000000,I2C,0x42 + ACK
0.011434280000000,I2C,Setup Read to [0x85] + ACK
0.011528920000000,I2C,0x00 + NAK
0.011640880000000,I2C,Setup Write to [0x84] + ACK
0.011731760000000,I2C,0x42 + ACK
0.011822600000000,I2C,0x02 + ACK
0.011944880000000,I2C,Setup Write to [0x84] + ACK
0.012035760000000,I2C,0x42 + ACK
0.012141680000000,I2C,Setup Read to [0x85] + ACK
0.012236320000000,I2C,0x02 + NAK
0.012348160000000,I2C,Setup Write to [0x84] + ACK
0.012439040000000,I2C,0x42 + ACK
0.012529880000000,I2C,0x06 + ACK
0.012642120000000,I2C,Setup Write to [0x84] + ACK
0.012732960000000,I2C,0x40 + ACK
0.012823840000000,I2C,0x40 + ACK
