Time [s], Analyzer Name, Decoded Protocol Result
0.000004720000000,I2C,Setup Write to [0x84] + ACK
0.000095600000000,I2C,0x00 + ACK
0.000201520000000,I2C,Setup Read to [0x85] + ACK
0.000296160000000,I2C,0x7B + NAK
0.000413600000000,I2C,Setup Write to [0x84] + ACK
0.000504480000000,I2C,0x41 + ACK
0.000610400000000,I2C,Setup Read to [0x85] + ACK
0.000705040000000,I2C,0x00 + NAK
0.000816920000000,I2C,Setup Write to [0x84] + ACK
0.000907720000000,I2C,0x41 + ACK
0.000998560000000,I2C,0x02 + ACK
0.001993760000000,I2C,Setup Write to [0x84] + ACK
0.002084640000000,I2C,0x41 + ACK
0.002190600000000,I2C,Setup Read to [0x85] + ACK
0.002285200000000,I2C,0x02 + NAK
0.002397000000000,I2C,Setup Write to [0x84] + ACK
0.002487840000000,I2C,0x41 + ACK
0.002578680000000,I2C,0x03 + ACK
0.003000200000000,I2C,Setup Write to [0x84] + ACK
0.003091040000000,I2C,0x40 + ACK
0.003197000000000,I2C,Setup Read to [0x85] + ACK
0.003291600000000,I2C,0x00 + NAK
0.003403520000000,I2C,Setup Write to [0x84] + ACK
0.003494360000000,I2C,0x40 + ACK
0.003585200000000,I2C,0x04 + ACK
0.003697080000000,I2C,Setup Write to [0x84] + ACK
0.003787920000000,I2C,0x80 + ACK
0.003878800000000,I2C,0x08 + ACK
0.003990240000000,I2C,Setup Write to [0x84] + ACK
0.004081080000000,I2C,0x81 + ACK
0.004171920000000,I2C,0xFF + ACK
0.004284000000000,I2C,Setup Write to [0x84] + ACK
0.004374880000000,I2C,0x82 + ACK
0.004465720000000,I2C,0x03 + ACK
0.004577640000000,I2C,Setup Write to [0x84] + ACK
0.004668480000000,I2C,0x83 + ACK
0.004759320000000,I2C,0xE8 + ACK
0.004870400000000,I2C,Setup Write to [0x84] + ACK
0.004961240000000,I2C,0x84 + ACK
0.005052080000000,I2C,0x00 + ACK
0.005164040000000,I2C,Setup Write to [0x84] + ACK
0.005254880000000,I2C,0x85 + ACK
0.005345720000000,I2C,0x18 + ACK
