Time [s], Analyzer Name, Decoded Protocol Result
0.000004720000000,I2C,Setup Write to [0x84] + ACK
0.000095600000000,I2C,0x00 + ACK
0.000201600000000,I2C,Setup Read to [0x85] + ACK
0.000296240000000,I2C,0x7B + NAK
0.000410840000000,I2C,Setup Write to [0x84] + ACK
0.000501720000000,I2C,0x41 + ACK
0.000607680000000,I2C,Setup Read to [0x85] + ACK
0.000702320000000,I2C,0x00 + NAK
0.000814240000000,I2C,Setup Write to [0x84] + ACK
0.000905080000000,I2C,0x41 + ACK
0.000995920000000,I2C,0x02 + ACK
0.001994360000000,I2C,Setup Write to [0x84] + ACK
0.002085200000000,I2C,0x41 + ACK
0.002191160000000,I2C,Setup Read to [0x85] + ACK
0.002285800000000,I2C,0x02 + NAK
0.002397560000000,I2C,Setup Write to [0x84] + ACK
0.002488400000000,I2C,0x41 + ACK
0.002579280000000,I2C,0x03 + ACK
0.003000920000000,I2C,Setup Write to [0x84] + ACK
0.003091720000000,I2C,0x40 + ACK
0.003197680000000,I2C,Setup Read to [0x85] + ACK
0.003292320000000,I2C,0x00 + NAK
0.003404160000000,I2C,Setup Write to [0x84] + ACK
0.003495000000000,I2C,0x40 + ACK
0.003585840000000,I2C,0x04 + ACK
0.003697440000000,I2C,Setup Write to [0x84] + ACK
0.003788280000000,I2C,0x80 + ACK
0.003879120000000,I2C,0x08 + ACK
0.003991640000000,I2C,Setup Write to [0x84] + ACK
0.004082440000000,I2C,0x81 + ACK
0.004173280000000,I2C,0xFF + ACK
0.004284840000000,I2C,Setup Write to [0x84] + ACK
0.004375640000000,I2C,0x82 + ACK
0.004466480000000,I2C,0x03 + ACK
0.004577560000000,I2C,Setup Write to [0x84] + ACK
0.004668400000000,I2C,0x83 + ACK
0.004759240000000,I2C,0xE8 + ACK
0.004870320000000,I2C,Setup Write to [0x84] + ACK
0.004961160000000,I2C,0x84 + ACK
0.005052000000000,I2C,0x00 + ACK
0.005163840000000,I2C,Setup Write to [0x84] + ACK
0.005254680000000,I2C,0x85 + ACK
0.005345520000000,I2C,0x18 + ACK
0.005456520000000,I2C,Setup Write to [0x84] + ACK
0.005547400000000,I2C,0x86 + ACK
0.005638280000000,I2C,0x02 + ACK
0.005749320000000,I2C,Setup Write to [0x84] + ACK
0.005840200000000,I2C,0x87 + ACK
0.005931040000000,I2C,0x6C + ACK
0.006043400000000,I2C,Setup Write to [0x84] + ACK
0.006134240000000,I2C,0x88 + ACK
0.006225120000000,I2C,0x00 + ACK
0.006336200000000,I2C,Setup Write to [0x84] + ACK
0.006427080000000,I2C,0x89 + ACK
0.006517960000000,I2C,0x00 + ACK
0.006629600000000,I2C,Setup Write to [0x84] + ACK
0.006720480000000,I2C,0x8A + ACK
0.006811320000000,I2C,0x27 + ACK
0.006923400000000,I2C,Setup Write to [0x84] + ACK
0.007014280000000,I2C,0x8B + ACK
0.007105160000000,I2C,0x10 + ACK
0.007217200000000,I2C,Setup Write to [0x84] + ACK
0.007308080000000,I2C,0x90 + ACK
0.007398920000000,I2C,0x95 + ACK
0.007509960000000,I2C,Setup Write to [0x84] + ACK
0.007600840000000,I2C,0x91 + ACK
0.007691680000000,I2C,0x95 + ACK
0.007802760000000,I2C,Setup Write to [0x84] + ACK
0.007893640000000,I2C,0x92 + ACK
0.007984480000000,I2C,0x95 + ACK
0.008096880000000,I2C,Setup Write to [0x84] + ACK
0.008187760000000,I2C,0x93 + ACK
0.008278600000000,I2C,0x00 + ACK
0.008389880000000,I2C,Setup Write to [0x84] + ACK
0.008480760000000,I2C,0x94 + ACK
0.008571600000000,I2C,0xFF + ACK
0.008682680000000,I2C,Setup Write to [0x84] + ACK
0.008773560000000,I2C,0x8C + ACK
0.008864400000000,I2C,0x13 + ACK
0.008976560000000,I2C,Setup Write to [0x84] + ACK
0.009067440000000,I2C,0x8D + ACK
0.009158280000000,I2C,0x7E + ACK
0.009269880000000,I2C,Setup Write to [0x84] + ACK
0.009360760000000,I2C,0x8E + ACK
0.009451600000000,I2C,0x07 + ACK
0.009562640000000,I2C,Setup Write to [0x84] + ACK
0.009653520000000,I2C,0x8F + ACK
0.009744400000000,I2C,0xD0 + ACK
0.009855480000000,I2C,Setup Write to [0x84] + ACK
0.009946360000000,I2C,0x96 + ACK
0.010037200000000,I2C,0x64 + ACK
0.010149520000000,I2C,Setup Write to [0x84] + ACK
0.010240400000000,I2C,0x97 + ACK
0.010331280000000,I2C,0x0A + ACK
0.010442480000000,I2C,Setup Write to [0x84] + ACK
0.010533360000000,I2C,0x98 + ACK
0.010624240000000,I2C,0x04 + ACK
0.010736160000000,I2C,Setup Write to [0x84] + ACK
0.010827040000000,I2C,0x01 + ACK
0.010933000000000,I2C,Setup Read to [0x85] + ACK
0.011027720000000,I2C,0x02 + ACK
0.011118560000000,I2C,0x06 + NAK
0.011241520000000,I2C,Setup Write to [0x84] + ACK
0.011332400000000,I2C,0x42 + ACK
0.011438360000000,I2C,Setup Read to [0x85] + ACK
0.011533000000000,I2C,0x00 + NAK
0.011644960000000,I2C,Setup Write to [0x84] + ACK
0.011735840000000,I2C,0x42 + ACK
0.011826680000000,I2C,0x02 + ACK
0.011949080000000,I2C,Setup Write to [0x84] + ACK
0.012039920000000,I2C,0x42 + ACK
0.012145880000000,I2C,Setup Read to [0x85] + ACK
0.012240560000000,I2C,0x02 + NAK
0.012352720000000,I2C,Setup Write to [0x84] + ACK
0.012443560000000,I2C,0x42 + ACK
0.012534440000000,I2C,0x06 + ACK
