Time [s], Analyzer Name, Decoded Protocol Result
0.000004760000000,I2C,Setup Write to [0x84] + ACK
0.000095640000000,I2C,0x00 + ACK
0.000201600000000,I2C,Setup Read to [0x85] + ACK
0.000296280000000,I2C,0x7B + NAK
0.000410920000000,I2C,Setup Write to [0x84] + ACK
0.000501800000000,I2C,0x41 + ACK
0.000607800000000,I2C,Setup Read to [0x85] + ACK
0.000702440000000,I2C,0x00 + NAK
0.000815080000000,I2C,Setup Write to [0x84] + ACK
0.000905960000000,I2C,0x41 + ACK
0.000996840000000,I2C,0x02 + ACK
0.001994680000000,I2C,Setup Write to [0x84] + ACK
0.002085560000000,I2C,0x41 + ACK
0.002191520000000,I2C,Setup Read to [0x85] + ACK
0.002286160000000,I2C,0x02 + NAK
0.002397920000000,I2C,Setup Write to [0x84] + ACK
0.002488760000000,I2C,0x41 + ACK
0.002579600000000,I2C,0x03 + ACK
0.003001320000000,I2C,Setup Write to [0x84] + ACK
0.003092160000000,I2C,0x40 + ACK
0.003198160000000,I2C,Setup Read to [0x85] + ACK
0.003292880000000,I2C,0x00 + NAK
0.003404680000000,I2C,Setup Write to [0x84] + ACK
0.003495520000000,I2C,0x40 + ACK
0.003586400000000,I2C,0x04 + ACK
0.003698040000000,I2C,Setup Write to [0x84] + ACK
0.003788920000000,I2C,0x80 + ACK
0.003879800000000,I2C,0x08 + ACK
0.003991760000000,I2C,Setup Write to [0x84] + ACK
0.004082640000000,I2C,0x81 + ACK
0.004173520000000,I2C,0xFF + ACK
0.004285160000000,I2C,Setup Write to [0x84] + ACK
0.004376000000000,I2C,0x82 + ACK
0.004466920000000,I2C,0x03 + ACK
0.004578000000000,I2C,Setup Write to [0x84] + ACK
0.004668880000000,I2C,0x83 + ACK
0.004759720000000,I2C,0xE8 + ACK
0.004871720000000,I2C,Setup Write to [0x84] + ACK
0.004962600000000,I2C,0x84 + ACK
0.005053480000000,I2C,0x00 + ACK
0.005165480000000,I2C,Setup Write to [0x84] + ACK
0.005256320000000,I2C,0x85 + ACK
0.005347200000000,I2C,0x18 + ACK
0.005458280000000,I2C,Setup Write to [0x84] + ACK
0.005549120000000,I2C,0x86 + ACK
0.005640000000000,I2C,0x02 + ACK
0.005752160000000,I2C,Setup Write to [0x84] + ACK
0.005843040000000,I2C,0x87 + ACK
0.005933960000000,I2C,0x6C + ACK
0.006046080000000,I2C,Setup Write to [0x84] + ACK
0.006136960000000,I2C,0x88 + ACK
0.006227840000000,I2C,0x00 + ACK
0.006338880000000,I2C,Setup Write to [0x84] + ACK
0.006429760000000,I2C,0x89 + ACK
0.006520600000000,I2C,0x00 + ACK
0.006632160000000,I2C,Setup Write to [0x84] + ACK
0.006723000000000,I2C,0x8A + ACK
0.006813880000000,I2C,0x27 + ACK
0.006926000000000,I2C,Setup Write to [0x84] + ACK
0.007016880000000,I2C,0x8B + ACK
0.007107720000000,I2C,0x10 + ACK
0.007219240000000,I2C,Setup Write to [0x84] + ACK
0.007310080000000,I2C,0x90 + ACK
0.007400920000000,I2C,0x95 + ACK
0.007511960000000,I2C,Setup Write to [0x84] + ACK
0.007602800000000,I2C,0x91 + ACK
0.007693640000000,I2C,0x95 + ACK
0.007805800000000,I2C,Setup Write to [0x84] + ACK
0.007896680000000,I2C,0x92 + ACK
0.007987520000000,I2C,0x95 + ACK
0.008099320000000,I2C,Setup Write to [0x84] + ACK
0.008190200000000,I2C,0x93 + ACK
0.008281040000000,I2C,0x00 + ACK
0.008392320000000,I2C,Setup Write to [0x84] + ACK
0.008483200000000,I2C,0x94 + ACK
0.008574080000000,I2C,0xFF + ACK
0.008685160000000,I2C,Setup Write to [0x84] + ACK
0.008776000000000,I2C,0x8C + ACK
0.008866840000000,I2C,0x13 + ACK
0.008978960000000,I2C,Setup Write to [0x84] + ACK
0.009069840000000,I2C,0x8D + ACK
0.009160720000000,I2C,0x7E + ACK
0.009272240000000,I2C,Setup Write to [0x84] + ACK
0.009363120000000,I2C,0x8E + ACK
0.009453960000000,I2C,0x07 + ACK
0.009565040000000,I2C,Setup Write to [0x84] + ACK
0.009655880000000,I2C,0x8F + ACK
0.009746760000000,I2C,0xD0 + ACK
0.009858720000000,I2C,Setup Write to [0x84] + ACK
0.009949560000000,I2C,0x96 + ACK
0.010040400000000,I2C,0x64 + ACK
0.010152680000000,I2C,Setup Write to [0x84] + ACK
0.010243520000000,I2C,0x97 + ACK
0.010334360000000,I2C,0x0A + ACK
0.010445520000000,I2C,Setup Write to [0x84] + ACK
0.010536320000000,I2C,0x98 + ACK
0.010627160000000,I2C,0x04 + ACK
0.010741360000000,I2C,Setup Write to [0x84] + ACK
0.010832200000000,I2C,0x01 + ACK
0.010938160000000,I2C,Setup Read to [0x85] + ACK
0.011032760000000,I2C,0x02 + ACK
0.011123600000000,I2C,0x06 + NAK
0.011246400000000,I2C,Setup Write to [0x84] + ACK
0.011337240000000,I2C,0x42 + ACK
0.011443160000000,I2C,Setup Read to [0x85] + ACK
0.011537800000000,I2C,0x00 + NAK
0.011649720000000,I2C,Setup Write to [0x84] + ACK
0.011740560000000,I2C,0x42 + ACK
0.011831360000000,I2C,0x02 + ACK
0.011953960000000,I2C,Setup Write to [0x84] + ACK
0.012044800000000,I2C,0x42 + ACK
0.012150720000000,I2C,Setup Read to [0x85] + ACK
0.012245360000000,I2C,0x02 + NAK
0.012357480000000,I2C,Setup Write to [0x84] + ACK
0.012448320000000,I2C,0x42 + ACK
0.012539160000000,I2C,0x06 + ACK
