Time [s], Analyzer Name, Decoded Protocol Result
0.000004760000000,I2C,Setup Write to [0x84] + ACK
0.000095560000000,I2C,0x80 + ACK
0.000201560000000,I2C,Setup Read to [0x85] + ACK
0.000296200000000,I2C,0x08 + NAK
0.000408160000000,I2C,Setup Write to [0x84] + ACK
0.000499000000000,I2C,0x80 + ACK
0.000589840000000,I2C,0x09 + ACK
4.418298080000000,I2C,Setup Write to [0x84] + ACK
4.418388920000000,I2C,0x00 + ACK
4.418494880000000,I2C,Setup Read to [0x85] + ACK
4.418589480000000,I2C,0x7B + NAK
4.418704120000000,I2C,Setup Write to [0x84] + ACK
4.418794960000000,I2C,0x41 + ACK
4.418900880000000,I2C,Setup Read to [0x85] + ACK
4.418995480000000,I2C,0x03 + NAK
4.419107360000000,I2C,Setup Write to [0x84] + ACK
4.419198200000000,I2C,0x41 + ACK
4.419289040000000,I2C,0x03 + ACK
4.420286840000000,I2C,Setup Write to [0x84] + ACK
4.420377680000000,I2C,0x41 + ACK
4.420483640000000,I2C,Setup Read to [0x85] + ACK
4.420578240000000,I2C,0x03 + NAK
4.420690040000000,I2C,Setup Write to [0x84] + ACK
4.420780840000000,I2C,0x41 + ACK
4.420871680000000,I2C,0x03 + ACK
4.421293320000000,I2C,Setup Write to [0x84] + ACK
4.421384160000000,I2C,0x40 + ACK
4.421490120000000,I2C,Setup Read to [0x85] + ACK
4.421584680000000,I2C,0x04 + NAK
4.421697200000000,I2C,Setup Write to [0x84] + ACK
4.421788040000000,I2C,0x80 + ACK
4.421878840000000,I2C,0x08 + ACK
4.421990720000000,I2C,Setup Write to [0x84] + ACK
4.422081560000000,I2C,0x81 + ACK
4.422172360000000,I2C,0xFF + ACK
4.422283440000000,I2C,Setup Write to [0x84] + ACK
4.422374240000000,I2C,0x82 + ACK
4.422465080000000,I2C,0x03 + ACK
4.422577200000000,I2C,Setup Write to [0x84] + ACK
4.422668040000000,I2C,0x83 + ACK
4.422758840000000,I2C,0xE8 + ACK
4.422869920000000,I2C,Setup Write to [0x84] + ACK
4.422960800000000,I2C,0x84 + ACK
4.423051640000000,I2C,0x00 + ACK
4.423162720000000,I2C,Setup Write to [0x84] + ACK
4.423253560000000,I2C,0x85 + ACK
4.423344400000000,I2C,0x18 + ACK
4.423456280000000,I2C,Setup Write to [0x84] + ACK
4.423547120000000,I2C,0x86 + ACK
4.423637960000000,I2C,0x02 + ACK
4.423749120000000,I2C,Setup Write to [0x84] + ACK
4.423839960000000,I2C,0x87 + ACK
4.423930800000000,I2C,0x6C + ACK
4.424042440000000,I2C,Setup Write to [0x84] + ACK
4.424133240000000,I2C,0x88 + ACK
4.424224080000000,I2C,0x00 + ACK
4.424335960000000,I2C,Setup Write to [0x84] + ACK
4.424426800000000,I2C,0x89 + ACK
4.424517680000000,I2C,0x00 + ACK
4.424629120000000,I2C,Setup Write to [0x84] + ACK
4.424720000000000,I2C,0x8A + ACK
4.424810800000000,I2C,0x27 + ACK
4.424921880000000,I2C,Setup Write to [0x84] + ACK
4.425012720000000,I2C,0x8B + ACK
4.425103560000000,I2C,0x10 + ACK
4.425214720000000,I2C,Setup Write to [0x84] + ACK
4.425305560000000,I2C,0x90 + ACK
4.425396400000000,I2C,0x95 + ACK
4.425508280000000,I2C,Setup Write to [0x84] + ACK
4.425599120000000,I2C,0x91 + ACK
4.425689960000000,I2C,0x95 + ACK
4.425801040000000,I2C,Setup Write to [0x84] + ACK
4.425891880000000,I2C,0x92 + ACK
4.425982720000000,I2C,0x95 + ACK
4.426093800000000,I2C,Setup Write to [0x84] + ACK
4.426184680000000,I2C,0x93 + ACK
4.426275520000000,I2C,0x00 + ACK
4.426387360000000,I2C,Setup Write to [0x84] + ACK
4.426478160000000,I2C,0x94 + ACK
4.426569000000000,I2C,0xFF + ACK
4.426680520000000,I2C,Setup Write to [0x84] + ACK
4.426771400000000,I2C,0x8C + ACK
4.426862240000000,I2C,0x13 + ACK
4.426973280000000,I2C,Setup Write to [0x84] + ACK
4.427064120000000,I2C,0x8D + ACK
4.427154960000000,I2C,0x7E + ACK
4.427266000000000,I2C,Setup Write to [0x84] + ACK
4.427356840000000,I2C,0x8E + ACK
4.427447680000000,I2C,0x07 + ACK
4.427559880000000,I2C,Setup Write to [0x84] + ACK
4.427650720000000,I2C,0x8F + ACK
4.427741560000000,I2C,0xD0 + ACK
4.427852640000000,I2C,Setup Write to [0x84] + ACK
4.427943480000000,I2C,0x96 + ACK
4.428034360000000,I2C,0x64 + ACK
4.428145720000000,I2C,Setup Write to [0x84] + ACK
4.428236560000000,I2C,0x97 + ACK
4.428327400000000,I2C,0x0A + ACK
4.428439440000000,I2C,Setup Write to [0x84] + ACK
4.428530240000000,I2C,0x98 + ACK
4.428621120000000,I2C,0x04 + ACK
4.428733200000000,I2C,Setup Write to [0x84] + ACK
4.428824040000000,I2C,0x01 + ACK
4.428929960000000,I2C,Setup Read to [0x85] + ACK
4.429024600000000,I2C,0x02 + ACK
4.429115400000000,I2C,0x06 + NAK
4.429238000000000,I2C,Setup Write to [0x84] + ACK
4.429328840000000,I2C,0x42 + ACK
4.429434800000000,I2C,Setup Read to [0x85] + ACK
4.429529480000000,I2C,0x06 + NAK
4.429641280000000,I2C,Setup Write to [0x84] + ACK
4.429732160000000,I2C,0x42 + ACK
4.429823000000000,I2C,0x06 + ACK
4.429945160000000,I2C,Setup Write to [0x84] + ACK
4.430036000000000,I2C,0x42 + ACK
4.430142000000000,I2C,Setup Read to [0x85] + ACK
4.430236600000000,I2C,0x06 + NAK
4.430349240000000,I2C,Setup Write to [0x84] + ACK
4.430440080000000,I2C,0x42 + ACK
4.430530960000000,I2C,0x06 + ACK
4.434119240000000,I2C,Setup Write to [0x84] + ACK
4.434210080000000,I2C,0x08 + ACK
4.434316000000000,I2C,Setup Read to [0x85] + ACK
4.434410600000000,I2C,0x02 + NAK
4.434523560000000,I2C,Setup Write to [0x84] + ACK
4.434614360000000,I2C,0x08 + ACK
4.434720280000000,I2C,Setup Read to [0x85] + ACK
4.434814840000000,I2C,0x02 + NAK
4.434927440000000,I2C,Setup Write to [0x84] + ACK
4.435018240000000,I2C,0x44 + ACK
4.435109000000000,I2C,0x02 + ACK
4.435221120000000,I2C,Setup Write to [0x84] + ACK
4.435311920000000,I2C,0x14 + ACK
4.435417840000000,I2C,Setup Read to [0x85] + ACK
4.435512440000000,I2C,0x00 + ACK
4.435603240000000,I2C,0x00 + ACK
4.435694040000000,I2C,0x06 + NAK
6.977357600000000,I2C,Setup Write to [0x84] + ACK
6.977448440000000,I2C,0x01 + ACK
6.977554360000000,I2C,Setup Read to [0x85] + ACK
6.977649000000000,I2C,0x02 + ACK
6.977739800000000,I2C,0x06 + NAK
6.977862680000000,I2C,Setup Write to [0x84] + ACK
6.977953560000000,I2C,0x42 + ACK
6.978059520000000,I2C,Setup Read to [0x85] + ACK
6.978154120000000,I2C,0x06 + NAK
6.978266080000000,I2C,Setup Write to [0x84] + ACK
6.978356920000000,I2C,0x42 + ACK
6.978447760000000,I2C,0x06 + ACK
6.978570560000000,I2C,Setup Write to [0x84] + ACK
6.978661400000000,I2C,0x42 + ACK
6.978767360000000,I2C,Setup Read to [0x85] + ACK
6.978862000000000,I2C,0x06 + NAK
6.978974040000000,I2C,Setup Write to [0x84] + ACK
6.979064880000000,I2C,0x42 + ACK
6.979155720000000,I2C,0x06 + ACK
6.979268080000000,I2C,Setup Write to [0x84] + ACK
6.979358920000000,I2C,0x40 + ACK
6.979449760000000,I2C,0x40 + ACK
