Time [s], Analyzer Name, Decoded Protocol Result
0.000004760000000,I2C,Setup Write to [0x84] + ACK
0.000095640000000,I2C,0x80 + ACK
0.000201640000000,I2C,Setup Read to [0x85] + ACK
0.000296280000000,I2C,0x08 + NAK
0.000408800000000,I2C,Setup Write to [0x84] + ACK
0.000499720000000,I2C,0x80 + ACK
0.000590600000000,I2C,0x09 + ACK
3.580669400000000,I2C,Setup Write to [0x84] + ACK
3.580760280000000,I2C,0x08 + ACK
3.580866280000000,I2C,Setup Read to [0x85] + ACK
3.580960920000000,I2C,0x02 + NAK
3.581074320000000,I2C,Setup Write to [0x84] + ACK
3.581165240000000,I2C,0x08 + ACK
3.581271200000000,I2C,Setup Read to [0x85] + ACK
3.581365880000000,I2C,0x02 + NAK
3.581478520000000,I2C,Setup Write to [0x84] + ACK
3.581569400000000,I2C,0x44 + ACK
3.581660280000000,I2C,0x02 + ACK
3.581772600000000,I2C,Setup Write to [0x84] + ACK
3.581863480000000,I2C,0x14 + ACK
3.581969440000000,I2C,Setup Read to [0x85] + ACK
3.582064160000000,I2C,0x01 + ACK
3.582155040000000,I2C,0x46 + ACK
3.582245920000000,I2C,0x9D + NAK
