Time [s], Analyzer Name, Decoded Protocol Result
0.000004760000000,I2C,Setup Write to [0x84] + ACK
0.000095600000000,I2C,0x80 + ACK
0.000201600000000,I2C,Setup Read to [0x85] + ACK
0.000296240000000,I2C,0x08 + NAK
0.000408240000000,I2C,Setup Write to [0x84] + ACK
0.000499120000000,I2C,0x80 + ACK
0.000590000000000,I2C,0x09 + ACK
4.418745400000000,I2C,Setup Write to [0x84] + ACK
4.418836280000000,I2C,0x00 + ACK
4.418942240000000,I2C,Setup Read to [0x85] + ACK
4.419036880000000,I2C,0x7B + NAK
4.419151560000000,I2C,Setup Write to [0x84] + ACK
4.419242400000000,I2C,0x41 + ACK
4.419348400000000,I2C,Setup Read to [0x85] + ACK
4.419443040000000,I2C,0x03 + NAK
4.419554920000000,I2C,Setup Write to [0x84] + ACK
4.419645840000000,I2C,0x41 + ACK
4.419736720000000,I2C,0x03 + ACK
4.420734840000000,I2C,Setup Write to [0x84] + ACK
4.420825720000000,I2C,0x41 + ACK
4.420931680000000,I2C,Setup Read to [0x85] + ACK
4.421026280000000,I2C,0x03 + NAK
4.421138080000000,I2C,Setup Write to [0x84] + ACK
4.421228960000000,I2C,0x41 + ACK
4.421319800000000,I2C,0x03 + ACK
4.421741560000000,I2C,Setup Write to [0x84] + ACK
4.421832440000000,I2C,0x40 + ACK
4.421938360000000,I2C,Setup Read to [0x85] + ACK
4.422033000000000,I2C,0x04 + NAK
4.422145480000000,I2C,Setup Write to [0x84] + ACK
4.422236320000000,I2C,0x80 + ACK
4.422327200000000,I2C,0x08 + ACK
4.422439120000000,I2C,Setup Write to [0x84] + ACK
4.422530040000000,I2C,0x81 + ACK
4.422620880000000,I2C,0xFF + ACK
4.422732000000000,I2C,Setup Write to [0x84] + ACK
4.422822880000000,I2C,0x82 + ACK
4.422913760000000,I2C,0x03 + ACK
4.423025920000000,I2C,Setup Write to [0x84] + ACK
4.423116800000000,I2C,0x83 + ACK
4.423207680000000,I2C,0xE8 + ACK
4.423318760000000,I2C,Setup Write to [0x84] + ACK
4.423409640000000,I2C,0x84 + ACK
4.423500520000000,I2C,0x00 + ACK
4.423611600000000,I2C,Setup Write to [0x84] + ACK
4.423702440000000,I2C,0x85 + ACK
4.423793320000000,I2C,0x18 + ACK
4.423905200000000,I2C,Setup Write to [0x84] + ACK
4.423996080000000,I2C,0x86 + ACK
4.424086920000000,I2C,0x02 + ACK
4.424198160000000,I2C,Setup Write to [0x84] + ACK
4.424289080000000,I2C,0x87 + ACK
4.424379960000000,I2C,0x6C + ACK
4.424491640000000,I2C,Setup Write to [0x84] + ACK
4.424582520000000,I2C,0x88 + ACK
4.424673400000000,I2C,0x00 + ACK
4.424785280000000,I2C,Setup Write to [0x84] + ACK
4.424876160000000,I2C,0x89 + ACK
4.424967040000000,I2C,0x00 + ACK
4.425078560000000,I2C,Setup Write to [0x84] + ACK
4.425169440000000,I2C,0x8A + ACK
4.425260320000000,I2C,0x27 + ACK
4.425371440000000,I2C,Setup Write to [0x84] + ACK
4.425462320000000,I2C,0x8B + ACK
4.425553160000000,I2C,0x10 + ACK
4.425664320000000,I2C,Setup Write to [0x84] + ACK
4.425755200000000,I2C,0x90 + ACK
4.425846080000000,I2C,0x95 + ACK
4.425957960000000,I2C,Setup Write to [0x84] + ACK
4.426048840000000,I2C,0x91 + ACK
4.426139720000000,I2C,0x95 + ACK
4.426250800000000,I2C,Setup Write to [0x84] + ACK
4.426341640000000,I2C,0x92 + ACK
4.426432480000000,I2C,0x95 + ACK
4.426543560000000,I2C,Setup Write to [0x84] + ACK
4.426634400000000,I2C,0x93 + ACK
4.426725280000000,I2C,0x00 + ACK
4.426837080000000,I2C,Setup Write to [0x84] + ACK
4.426927920000000,I2C,0x94 + ACK
4.427018720000000,I2C,0xFF + ACK
4.427130320000000,I2C,Setup Write to [0x84] + ACK
4.427221200000000,I2C,0x8C + ACK
4.427312040000000,I2C,0x13 + ACK
4.427423120000000,I2C,Setup Write to [0x84] + ACK
4.427514000000000,I2C,0x8D + ACK
4.427604840000000,I2C,0x7E + ACK
4.427715960000000,I2C,Setup Write to [0x84] + ACK
4.427806840000000,I2C,0x8E + ACK
4.427897680000000,I2C,0x07 + ACK
4.428009880000000,I2C,Setup Write to [0x84] + ACK
4.428100800000000,I2C,0x8F + ACK
4.428191680000000,I2C,0xD0 + ACK
4.428302720000000,I2C,Setup Write to [0x84] + ACK
4.428393600000000,I2C,0x96 + ACK
4.428484480000000,I2C,0x64 + ACK
4.428595880000000,I2C,Setup Write to [0x84] + ACK
4.428686760000000,I2C,0x97 + ACK
4.428777600000000,I2C,0x0A + ACK
4.428889680000000,I2C,Setup Write to [0x84] + ACK
4.428980560000000,I2C,0x98 + ACK
4.429071440000000,I2C,0x04 + ACK
4.429183560000000,I2C,Setup Write to [0x84] + ACK
4.429274440000000,I2C,0x01 + ACK
4.429380400000000,I2C,Setup Read to [0x85] + ACK
4.429475040000000,I2C,0x02 + ACK
4.429565920000000,I2C,0x06 + NAK
4.429688560000000,I2C,Setup Write to [0x84] + ACK
4.429779440000000,I2C,0x42 + ACK
4.429885400000000,I2C,Setup Read to [0x85] + ACK
4.429980120000000,I2C,0x06 + NAK
4.430092600000000,I2C,Setup Write to [0x84] + ACK
4.430183480000000,I2C,0x42 + ACK
4.430274320000000,I2C,0x06 + ACK
4.430396520000000,I2C,Setup Write to [0x84] + ACK
4.430487400000000,I2C,0x42 + ACK
4.430593360000000,I2C,Setup Read to [0x85] + ACK
4.430688000000000,I2C,0x06 + NAK
4.430800640000000,I2C,Setup Write to [0x84] + ACK
4.430891480000000,I2C,0x42 + ACK
4.430982360000000,I2C,0x06 + ACK
4.434594040000000,I2C,Setup Write to [0x84] + ACK
4.434684880000000,I2C,0x08 + ACK
4.434790880000000,I2C,Setup Read to [0x85] + ACK
4.434885480000000,I2C,0x02 + NAK
4.434998560000000,I2C,Setup Write to [0x84] + ACK
4.435089440000000,I2C,0x08 + ACK
4.435195400000000,I2C,Setup Read to [0x85] + ACK
4.435290120000000,I2C,0x02 + NAK
4.435402760000000,I2C,Setup Write to [0x84] + ACK
4.435493640000000,I2C,0x44 + ACK
4.435584520000000,I2C,0x02 + ACK
4.435696680000000,I2C,Setup Write to [0x84] + ACK
4.435787560000000,I2C,0x14 + ACK
4.435893480000000,I2C,Setup Read to [0x85] + ACK
4.435988160000000,I2C,0x00 + ACK
4.436079040000000,I2C,0x00 + ACK
4.436169880000000,I2C,0x0E + NAK
6.977832560000000,I2C,Setup Write to [0x84] + ACK
6.977923400000000,I2C,0x01 + ACK
6.978029360000000,I2C,Setup Read to [0x85] + ACK
6.978124000000000,I2C,0x02 + ACK
6.978214840000000,I2C,0x06 + NAK
6.978337960000000,I2C,Setup Write to [0x84] + ACK
6.978428800000000,I2C,0x42 + ACK
6.978534760000000,I2C,Setup Read to [0x85] + ACK
6.978629360000000,I2C,0x06 + NAK
6.978741360000000,I2C,Setup Write to [0x84] + ACK
6.978832200000000,I2C,0x42 + ACK
6.978923040000000,I2C,0x06 + ACK
6.979045360000000,I2C,Setup Write to [0x84] + ACK
6.979136240000000,I2C,0x42 + ACK
6.979242160000000,I2C,Setup Read to [0x85] + ACK
6.979336840000000,I2C,0x06 + NAK
6.979448640000000,I2C,Setup Write to [0x84] + ACK
6.979539520000000,I2C,0x42 + ACK
6.979630360000000,I2C,0x06 + ACK
6.979742560000000,I2C,Setup Write to [0x84] + ACK
6.979833400000000,I2C,0x40 + ACK
6.979924240000000,I2C,0x40 + ACK
