Time [s], Analyzer Name, Decoded Protocol Result
0.000004720000000,I2C,Setup Write to [0x84] + ACK
0.000095520000000,I2C,0x80 + ACK
0.000201480000000,I2C,Setup Read to [0x85] + ACK
0.000296080000000,I2C,0x08 + NAK
0.000408520000000,I2C,Setup Write to [0x84] + ACK
0.000499360000000,I2C,0x80 + ACK
0.000590200000000,I2C,0x09 + ACK
3.988043360000000,I2C,Setup Write to [0x84] + ACK
3.988134240000000,I2C,0x08 + ACK
3.988240200000000,I2C,Setup Read to [0x85] + ACK
3.988334840000000,I2C,0x02 + NAK
3.988448200000000,I2C,Setup Write to [0x84] + ACK
3.988539040000000,I2C,0x08 + ACK
3.988645000000000,I2C,Setup Read to [0x85] + ACK
3.988739640000000,I2C,0x02 + NAK
3.988852360000000,I2C,Setup Write to [0x84] + ACK
3.988943200000000,I2C,0x44 + ACK
3.989034040000000,I2C,0x02 + ACK
3.989146160000000,I2C,Setup Write to [0x84] + ACK
3.989237080000000,I2C,0x14 + ACK
3.989343080000000,I2C,Setup Read to [0x85] + ACK
3.989437800000000,I2C,0x00 + ACK
3.989528680000000,I2C,0x00 + ACK
3.989619560000000,I2C,0x86 + NAK
